Stepanchuk,  Maksym,  2001-11-28, 88.300003 75.900002 83.599998 69.699997 91.099998
Tymoshchuk,  Lev,  2000-08-15, 85.000000 91.199997 78.500000 65.300003 87.000000
Kostyuk,  Orest,  2002-03-29, 67.199997 81.400002 89.500000 73.599998 87.000000
Rudenko,  Pavlo,  1999-07-22, 73.900002 78.300003 84.000000 90.900002 87.000000
Zhuk,  Ihor,  2001-04-06, 90.800003 85.500000 66.199997 89.400002 87.000000
Kravchenko,  Taras,  2000-10-03, 81.500000 88.199997 72.400002 86.699997 90.199997
Moroz,  Serhiy,  1998-08-11, 74.300003 69.099998 87.599998 84.500000 90.199997
Yaremchuk,  Vitaliy,  2001-05-17, 86.000000 73.300003 92.500000 80.800003 79.500000
Boyko,  Oleksiy,  2002-02-14, 78.599998 85.099998 91.699997 72.400002 79.500000
Hrytsenko,  Yuriy,  1999-12-30, 91.199997 88.900002 73.300003 82.699997 83.500000
Polishchuk,  Artem,  2000-09-09, 65.900002 72.300003 89.800003 76.000000 83.500000
Savchenko,  Roman,  1999-03-15, 82.800003 77.500000 88.000000 91.199997 90.000000
Lysenko,  Bohdan,  1998-11-02, 71.400002 89.699997 80.099998 65.199997 90.000000
Tkachenko,  Dmytro,  2001-07-25, 92.099998 78.599998 69.400002 84.300003 90.000000
Bondarenko,  Mykola,  2000-06-14, 85.500000 91.800003 73.199997 88.699997 88.400002
Melnyk,  Oleksandr,  2002-04-30, 78.300003 63.900002 70.500000 89.599998 88.400002
Kovalenko,  Andriy,  2000-01-19, 70.199997 82.400002 85.900002 90.300003 92.800003
Sydorenko,  Vasyl,  1999-12-11, 67.400002 78.400002 91.400002 76.500000 92.800003
Shevchenko,  Petro,  2001-08-22, 89.500000 65.800003 95.900002 74.099998 92.800003
Ivanenko,  Ivan,  2000-05-15, 86.699997 89.000000 56.599998 80.699997 92.800003
